"UserAccount Name","herkky"
"Title","Trip 2026/05/11 12:39 P.M. Krabi"
"Comment",""
"Vehicle Nickname","KLE500"
"Distance",
"Time",189
"R.Score",

"elapsed_msec","gps_latitude","gps_longitude","instant_fuel_consumption","water_temperature","boost_temperature","engine_RPM","wheel_speed","acceleration","throttle_position","boost_pressure","gear_position","brake_pressure_fr_caliper","lean_angle","rideology_score"
157.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1376,0,0.000000,0,0,0,0.000000,0,0
158.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1404,0,0.000000,0,0,0,0.000000,0,0
159.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1346,0,0.000000,0,0,0,0.000000,0,0
160.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1358,0,0.000000,0,0,0,0.000000,0,0
161.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1416,0,0.000000,0,0,0,0.000000,0,0
162.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1403,0,0.000000,0,0,0,0.000000,0,0
163.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1459,0,0.000000,0,0,0,0.000000,0,0
164.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1347,0,0.000000,0,0,0,0.000000,0,0
165.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1431,0,0.000000,0,0,0,0.000000,0,0
166.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1398,0,0.000000,0,0,0,0.000000,0,0
167.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1413,0,0.000000,0,0,0,0.000000,0,0
168.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1324,0,0.000000,0,0,0,0.000000,0,0
169.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1423,0,0.000000,0,0,0,0.000000,0,0
170.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1307,0,0.000000,0,0,0,0.000000,0,0
171.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1427,0,0.000000,0,0,0,0.000000,0,0
172.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1407,0,0.000000,0,0,0,0.000000,0,0
173.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1378,0,0.000000,0,0,0,0.000000,0,0
174.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1442,0,0.000000,0,0,0,0.000000,0,0
175.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1416,0,0.000000,0,0,0,0.000000,0,0
176.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1407,0,0.000000,0,0,0,0.000000,0,0
177.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1405,0,0.000000,0,0,0,0.000000,0,0
178.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1407,0,0.000000,0,0,0,0.000000,0,0
179.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1595,0,0.000000,0,0,1,0.000000,0,0
180.979996,8.075791,98.909569,0.000000,100.000000,0.000000,1568,0,0.000000,0,0,1,0.000000,0,0
181.979996,8.075797,98.909576,0.000000,100.000000,0.000000,1550,0,0.000000,0,0,1,0.000000,0,0
